Project, LC (t=400), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
Protein, 1, 0, 1, 1, 3, 54, 1, 751, 40, 2, 216
behavior-learn, 1, 0, 5, 4, 10, 170, 2, 1195, 2, 1, 214
AndroidTracker, 1, 0, 9, 5, 15, 386, 0, 2241, 127, 1, 213
SuperBottomSheet, 1, 0, 1, 2, 4, 40, 0, 669, 46, 2, 213
intellij-lsp-server, 2, 1, 72, 12, 87, 281, 21, 7057, 285, 7, 213
coroutine-recipes, 0, 0, 0, 9, 9, 412, 0, 686, 29, 4, 213
android-navigation, 0, 0, 0, 1, 1, 201, 8, 300, 10, 5, 211
FanfouHandpick, 0, 0, 1, 1, 2, 870, 0, 382, 18, 2, 211
SimpleAST, 1, 0, 6, 0, 7, 254, 2, 963, 31, 6, 210
smuggler, 3, 6, 29, 9, 47, 1009, 6, 3364, 467, 2, 208
Fingerprint2Sleep, 2, 0, 6, 9, 17, 796, 27, 2196, 253, 14, 207
NewsCatchr, 4, 0, 8, 10, 22, 815, 8, 3887, 373, 3, 206
audiowave-progressbar, 1, 0, 2, 1, 4, 763, 6, 392, 50, 6, 206
haskell-idea-plugin, 10, 1, 42, 68, 121, 1899, 46, 15241, 990, 16, 205
assent, 0, 0, 5, 1, 6, 1092, 0, 610, 85, 2, 204
android-app, 45, 10, 193, 124, 372, 212, 2, 41891, 1048, 8, 204
IPFSDroid, 0, 0, 1, 4, 5, 942, 18, 645, 211, 3, 204
duic, 7, 0, 18, 15, 40, 364, 2, 7942, 479, 4, 203
videochatguru-android, 2, 0, 3, 7, 12, 488, 1, 2227, 186, 4, 203
ScreenStream, 3, 1, 6, 6, 16, 860, 5, 3008, 164, 7, 202
security-workshop-sample, 0, 0, 24, 23, 47, 461, 2, 3017, 95, 8, 201
K4Kotlin, 1, 0, 4, 1, 6, 519, 2, 1336, 105, 5, 201
template, 1, 1, 0, 1, 3, 851, 0, 495, 263, 35, 200
Flesh, 3, 1, 15, 13, 32, 444, 2, 2782, 279, 3, 199
animated-clock-icon, 0, 0, 1, 3, 4, 744, 1, 493, 19, 3, 199
Covert, 1, 0, 9, 1, 11, 80, 0, 996, 4, 1, 199
