Project, LC (t=100), LM(t=20), LPL(t=2), TMM(t=5), Total, Lifespan, Issues, LOC, Commits, Contributors, Stargazers
Douya,129,221,882,145,1377,1028,11,59133,1283,1,4034
Android-Iconics,43,25,79,7,154,1485,0,15580,887,34,4020
cameraview,6,20,12,7,45,843,169,3456,78,17,4010
Android-ConvenientBanner,3,6,10,2,21,1433,46,1000,86,7,3999
RIBs,23,55,115,20,213,418,40,16661,253,29,3997
dexposed,4,17,48,2,71,1244,20,3002,85,9,3992
Android-Image-Cropper,14,74,75,7,170,1410,149,6904,596,59,3991
WilliamChart,30,48,37,13,128,1575,21,7681,497,12,3987
RxJava2-Android-Samples,2,43,1,3,49,820,10,3643,167,20,3964
aeron,233,890,815,166,2104,1752,26,85657,8743,67,3958
Fast-Android-Networking,51,277,112,34,474,979,114,19506,645,14,3957
Compressor,1,5,4,1,11,890,62,452,50,9,3957
jjwt,18,29,36,13,96,1534,66,10404,399,31,3949
aurora-imui,44,143,155,23,365,712,38,17747,1138,22,3948
config,39,91,144,39,313,2546,155,15693,973,87,3935
packer-ng-plugin,9,19,12,7,47,1097,5,2099,221,7,3925
Phoenix,2,10,8,3,23,1413,14,986,72,10,3910
APIJSON,138,286,415,92,931,734,8,44753,1311,7,3888
walle,16,52,47,8,123,684,37,6304,2,1,3872
roboguice,208,607,432,153,1400,2296,149,79017,2682,74,3866
SwitchButton,3,15,5,2,25,1538,21,1490,163,8,3861
zeppelin,350,1196,860,254,2660,1341,59,130452,5019,382,3859
joda-time,267,581,510,225,1583,2750,22,125030,2166,87,3830
bilibili-android-client,126,115,98,48,387,907,7,28451,487,3,3829
BGARefreshLayout-Android,22,58,70,24,174,1277,89,6166,172,3,3826
AndroidWiFiADB,6,1,3,6,16,1134,19,1535,184,7,3824
spring-boot-api-project-seed,2,9,2,3,16,520,63,617,108,4,3818
angel,357,1644,1755,261,4017,579,48,179178,1632,56,3811
otter,207,604,362,132,1305,1934,159,85687,121,20,3808
FastHub,161,301,638,173,1273,645,193,50546,1911,110,3793
CalendarView,35,94,148,25,302,624,126,13832,237,8,3792
RecyclerViewSnap,2,10,10,1,23,816,2,873,87,4,3788
MaterialDateTimePicker,23,63,82,11,179,1422,42,9598,442,34,3769
MagicCamera,47,181,52,22,302,1052,86,15492,36,3,3769
alluxio,1071,2551,1282,766,5670,2165,25,416148,29791,1062,3762
from-java-to-kotlin,0,0,0,0,0,553,4,42,110,30,3741
MultiType,6,12,11,3,32,844,1,3980,327,6,3738
ssm,0,1,4,0,5,890,18,602,38,9,3725
android-zxingLibrary,10,24,15,4,53,852,170,2876,76,9,3695
android-autofittextview,2,4,14,1,21,2841,53,739,61,5,3677
orientdb,1095,4880,4174,990,11139,2177,1263,554648,22051,184,3674
android-tips-tricks,0,0,0,0,0,822,3,23,243,11,3673
RxJavaSamples,0,9,6,0,15,976,21,1103,24,6,3667
android-iconify,11,3,12,2,28,1992,64,6392,313,15,3665
jstorm,671,1781,1909,510,4871,1909,200,253939,349,49,3661
Blurry,2,4,7,1,14,1221,58,595,107,7,3660
feign,61,102,150,60,373,1978,115,22628,945,134,3654
Bolts-Android,11,87,21,6,125,1760,25,5042,194,21,3615
PLDroidPlayer,20,60,28,15,123,1272,195,5237,113,13,3606
h2o-3,572,2313,2237,412,5534,1728,83,220033,28338,188,3599
BottomNavigation,12,21,42,6,81,981,27,3114,169,11,3592
ideavim,71,258,672,49,1050,2818,24,50624,1804,47,3587
SwipeRecyclerView,13,43,50,6,112,844,58,6643,65,8,3586
cachecloud,187,517,1890,120,2714,1034,95,72784,401,12,3580
flyway,73,131,207,46,457,2172,184,31822,2496,120,3562
CoordinatorTabLayout,1,4,3,0,8,667,16,695,76,2,3556
Sentinel,81,235,240,50,606,235,66,34972,209,18,3554
NoHttp,36,58,92,17,203,1215,50,14962,209,6,3549
Dexter,6,4,11,8,29,1104,36,2848,292,37,3546
react-native-video,9,27,24,5,65,1335,457,3380,925,144,3539
chuck,7,10,12,4,33,656,42,2307,139,6,3515
StepView,5,18,10,1,34,886,36,1581,106,5,3509
ViewPagerCards,0,1,3,0,4,827,9,317,20,2,3505
LoadingDrawable,16,40,8,11,75,953,7,4443,46,3,3499
rest-assured,129,199,362,142,832,2957,219,63255,1758,82,3496
Android-skin-support,38,95,230,10,373,682,96,14027,472,7,3496
hibernate-orm,2184,6647,5403,1003,15237,2974,104,885006,14727,478,3494
ShineButton,4,8,16,1,29,873,21,1135,104,6,3494
react-native-push-notification,5,17,2,2,26,1077,458,1489,368,75,3491
openhab1-addons,1367,3456,2457,570,7850,1892,302,621506,9782,562,3484
algs4,132,188,223,115,658,1182,15,45634,132,6,3478
retrolambda,15,24,70,13,122,1954,21,5065,546,18,3468
Context-Menu.Android,4,7,10,4,25,1412,14,1092,100,13,3454
sticky-headers-recyclerview,3,6,18,1,28,1514,77,1041,124,16,3432
